dimension_id,dimension_label,id,label,periodo_regulatorio,regime_regulatorio,meses_com_dados,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,compensacao_anualizada,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,share_serv_periodo,suppressed_low_volume,selector_enabled
economico,Grupo Econômico,cooperzem,Grupo Cooperzem,operacional_2023_plus,REN_1000,39,97579,3,0.0,0.0,104735,3.0744319986882425e-05,2.8643719864419723,0.0,6.46957048802049e-05,False,True
economico,Grupo Econômico,cooperzem,Grupo Cooperzem,pos_2022,REN_1000,39,97579,3,0.0,0.0,104735,3.0744319986882425e-05,2.8643719864419723,0.0,6.46957048802049e-05,False,True
economico,Grupo Econômico,coorsel,Grupo Coorsel,operacional_2023_plus,REN_1000,40,66186,32,1065.43,319.629,112027,0.0004834859335811199,28.564542476367304,0.009510475153311255,4.3881879535568524e-05,False,True
economico,Grupo Econômico,coorsel,Grupo Coorsel,pos_2022,REN_1000,40,66186,32,1065.43,319.629,112027,0.0004834859335811199,28.564542476367304,0.009510475153311255,4.3881879535568524e-05,False,True
economico,Grupo Econômico,copel,Grupo Copel,operacional_2023_plus,REN_1000,40,78595316,33775,8694905.2283,2608471.5684899995,67273170,0.0004297329881592435,50.20575067296517,0.12924774064162578,0.05210936132674495,False,True
economico,Grupo Econômico,copel,Grupo Copel,pos_2022,REN_1000,40,78595316,33775,8694905.2283,2608471.5684899995,67273170,0.0004297329881592435,50.20575067296517,0.12924774064162578,0.05210936132674495,False,True
economico,Grupo Econômico,coprel,Grupo Coprel,operacional_2023_plus,REN_1000,38,56406,1561,109733.51,34652.68736842105,94016,0.027674360883593943,1660.35568413887,1.167179097174949,3.7397656560047115e-05,False,True
economico,Grupo Econômico,coprel,Grupo Coprel,pos_2022,REN_1000,38,56406,1561,109733.51,34652.68736842105,94016,0.027674360883593943,1660.35568413887,1.167179097174949,3.7397656560047115e-05,False,True
economico,Grupo Econômico,creluz_d,Grupo Creluz D,operacional_2023_plus,REN_1000,40,135081,63,21733.81,6520.143000000001,303195,0.0004663868345659271,20.778706772868947,0.071682613499563,8.955984905484743e-05,False,True
economico,Grupo Econômico,creluz_d,Grupo Creluz D,pos_2022,REN_1000,40,135081,63,21733.81,6520.143000000001,303195,0.0004663868345659271,20.778706772868947,0.071682613499563,8.955984905484743e-05,False,True
economico,Grupo Econômico,creral,Grupo Creral,operacional_2023_plus,REN_1000,40,49153,202,20690.79,6207.237000000001,103746,0.004109616910463247,194.70630192971296,0.19943699034179632,3.2588856024110835e-05,False,True
economico,Grupo Econômico,creral,Grupo Creral,pos_2022,REN_1000,40,49153,202,20690.79,6207.237000000001,103746,0.004109616910463247,194.70630192971296,0.19943699034179632,3.2588856024110835e-05,False,True
economico,Grupo Econômico,dmed,Grupo DMED,operacional_2023_plus,REN_1000,40,1045739,5268,382376.56,114712.96800000001,1132315,0.005037585860334175,465.2415626393716,0.33769451080308927,0.0006933338292636795,False,True
economico,Grupo Econômico,dmed,Grupo DMED,pos_2022,REN_1000,40,1045739,5268,382376.56,114712.96800000001,1132315,0.005037585860334175,465.2415626393716,0.33769451080308927,0.0006933338292636795,False,True
economico,Grupo Econômico,dcelt,Grupo Dcelt,operacional_2023_plus,REN_1000,39,302363,4517,113091.14,34797.27384615385,445457,0.014938997165658496,1014.0148207346612,0.25387667047548923,0.00020046923430956857,False,True
economico,Grupo Econômico,dcelt,Grupo Dcelt,pos_2022,REN_1000,39,302363,4517,113091.14,34797.27384615385,445457,0.014938997165658496,1014.0148207346612,0.25387667047548923,0.00020046923430956857,False,True
economico,Grupo Econômico,demei,Grupo Demei,operacional_2023_plus,REN_1000,40,276905,397,27593.96,8278.187999999998,433548,0.0014337047001679276,91.57002223513891,0.06364683956563057,0.00018359036431868676,False,True
economico,Grupo Econômico,demei,Grupo Demei,pos_2022,REN_1000,40,276905,397,27593.96,8278.187999999998,433548,0.0014337047001679276,91.57002223513891,0.06364683956563057,0.00018359036431868676,False,True
economico,Grupo Econômico,edp,Grupo EDP,operacional_2023_plus,REN_1000,40,53415184,67664,37033009.31995,11109902.795984998,49998566,0.001266755909705375,135.3318813183562,0.7406814291423878,0.035414720177352116,False,True
economico,Grupo Econômico,edp,Grupo EDP,pos_2022,REN_1000,40,53415184,67664,37033009.31995,11109902.795984998,49998566,0.001266755909705375,135.3318813183562,0.7406814291423878,0.035414720177352116,False,True
economico,Grupo Econômico,enel,Grupo ENEL,operacional_2023_plus,REN_1000,40,251124995,266983,178563738.85744762,53569121.65723428,243323578,0.001063147855911356,109.72343995368998,0.7338530048142216,0.16649800228084863,False,True
economico,Grupo Econômico,enel,Grupo ENEL,pos_2022,REN_1000,40,251124995,266983,178563738.85744762,53569121.65723428,243323578,0.001063147855911356,109.72343995368998,0.7338530048142216,0.16649800228084863,False,True
